date,ticker,price
2024-01-01,AAPL,148.016355308863
2024-01-02,AAPL,147.33592219332974
2024-01-03,AAPL,147.0773964412396
2024-01-04,AAPL,148.47922519229368
2024-01-05,AAPL,147.80351842649853
2024-01-06,AAPL,148.00692198102624
2024-01-07,AAPL,146.45939125028121
2024-01-08,AAPL,147.04309024297746
2024-01-09,AAPL,148.42084133127923
2024-01-10,AAPL,146.78082712427516
2024-01-11,AAPL,148.7144629646491
2024-01-12,AAPL,149.5163279615188
2024-01-13,AAPL,148.1893471060133
2024-01-14,AAPL,150.48125081141546
2024-01-15,AAPL,150.11628927483477
2024-01-16,AAPL,149.71852509813021
2024-01-17,AAPL,149.94000883795525
2024-01-18,AAPL,150.13523644504713
2024-01-19,AAPL,150.34414648127387
2024-01-20,AAPL,151.57176141443406
